id,title,label
1,sibhalele ufake sicelo sakho nge email Ku simelaneddsabc.co.za Kumbe ubhale le lopheka lihlelo Mr Bheki Sehlabela Ku sehlabelawbsabc.coza lokungenani ushiye sicelo sakho emsakatweni Kumbe kuyinye yema container aka SuperB lasedvute nawe,"arts, culture, entertainment and media"
2,Njalo ngemsombuluko sine Covid19 Open line. Sishayela ku 089 110 2500 ukhokhe lekusesifubeni sakho mayelana leligciwane lelihlasele Mhlaba wonke jikelele. Ungaphawulo nala kuFacebook.,society
3,"Akukavunyelwa kwekutsi umuntfu lotfolakala aneCovid 19 avakashelwe esibhedlela. Ingabe unalo lilunga lemndeni lelitfolakale kwekutsi linalo leligciwane, wenta njani kwekutsi utfole imininingwane ngesimo sakhe semphilo nobe kutsi uchuba njani",health
4,Utilungiselele kangakanani kwesekele umngani nobe lilunga lemndeni lelingahle litfolakale kwekutsi seline Covid19. Ingabe yini umbono wakho mayelana bantfu labangasekeli labo labadvute nabo lekutfolakala kutsi sebabanjwe nguleligciwane,health
5,"Ngembi kwekutsi kube neCovid 19, imali lebeyisetjentiswa kungcwaba lilunga lemndeni beyiba iningi. Ngalemigomo lemisha lebikiwe yekungwcaba, ucabanga kwekutsi kuvela kwaleligciwane kusite mindeni leminingi kwekutsi yonge imali nobe kufanele sibuyela kulendlela besingcwaba ngayo kudzala na",society
6,Linyenti lemave libeke umtsetfo wekujezisa bantfu uma bangagcoki sifonyo. Ingingizimu Afrika yona ibeke umtsetfo wekugcoka sifonyo kephela uma usebantfwini noma uya emsebentini. Kungaba njani uma Iningizimu Afrika nayo ingabeka umtsetfo wekuhlala ugcoke sifonyo njalo kwehlisa lizinga lekutselelana ngaleligciwane,"crime, law and justice"
7,"Utiva njani ngekuvulwa kwetindzawo letibalwe nguMengameli kunkhulumo yakhe itolo Silindzele kutsi kuvulwe emaRestuarants, emahotela lavunyelwe kutsi avulwe, maCinema, theatre, maCasino, netindzawo lekudlalwa iCricket, golf ne Tennis pheceleti Noncontact sports.",society
8,Lockdown Day54 Solo tikhuphuke njalo tibalo tebantfu laba banjwa ngunaku kugula kwalo mkhuhlane we CoronaVirus Hlala utsi ne kumsakato Ligwalagwala FM. Tsine sikuletsa bunandzi bodvwa njalo Ngemgcibelo nangeli Sontfo,society
9,"Kusa Njengoba siku level 4 we lockdown lapho letinye tisebenti tibuyele emisebentini,kulenkapani losebenta kuyo ngabe niyawulandzela na umgomo we lockdown kufaka sifonyo, sanitize,geze tandla ,social distancing etc.",labour
10,"ligwalagwalaFM FAMILY Uma ngabe balaphi bendzabuko bangavela nelikhambi lale nkhotsamave iCovid19 hulumende aliphasise BESE UTSI LITFOLAKALA KUPHELA KUBO THOKOZA etindumbeni ungaya kolitfola kubo na, kungani naba kafishaneLomuhla ku siyobe sicocisana na Phepsile Maseko kulelihledlwana lwetfu Sibuka indlela lesehanjwe balaphi bendzabuko ekulweni nalenkhotsamave ye Covid19 netinkhulumiswano lebanato na Hulumende la Mzansi","arts, culture, entertainment and media"
11,"The Lockdown yente bantfu baba creative ngekunatsa tjwala besintfuUmcombotsi ne Spayoni, babukhulumela kamnandzi, babufake tinongo nawe uve uchabange kutsi uyaluza, kantsi bazama kulwa nanembeza. What are the funny excuses for drinking Spayoni ne mcombotsi you have heard during this Lockdown 07h50, tivele Real Madumane and Ntsimbi Makwakwa kutsi batsini",society
12,"Here is your todays show menu vumani booo Real Madumane, utsi leliphupho lakho lisho kutsi iLockdown iyaphela ekupheleni kwenyanga, ngaloko bantfu batawunatsa badzakwe, kube inkinga eveni. Lalela Real Madumane, acaza liphupho lakho.Ngicabana nebantfwa bami nge Remote yeTV endlini ngenca yekutsi ngifuna kubukela lokunye bonas bafuna kubukela lokunye, uma ngitsi ngiyalala bagijima indlu yonke kuphele butfongo. Ink...",society
13,Ngekubona kwakho ngabe inombolo yemaPhoyisa iyandza ngala uhlala khona naUcabanga kwekutsi sibahlali balana eNingizimu Afrika sidzinga emaphoyisa kutsi asifake endlelni acinisekise kutsi sihlala emakhaya nobe cha asiwadzingi,"crime, law and justice"
14,Selifikile leli langa lemancamu. Hlanganyela natsi lomuhla ngensimbi yesibili 14H00 Lomuhla kumenyetelwa tinhlelo letidle umhlanganiso kanye nesitishi lesitsandvwa kakhulu. Singumsakato ligwalagwalafm sina 8 ma Nominations,"arts, culture, entertainment and media"
16,"Sibuya kumphelasontfo yeliphasika eminyakeni ledlulile tingoti betiyimvama emigwaceni yalelive ngalesikhatsi seliphasika kepha kulomnyaka njengoba kune lockdown tehlile kakhulu ngoba tingasitinyenti timoto emgwaceni. Kantsi luvo lalabanye litsi, lokwehla kwetingoti emigwaceni yalelive kulesikhatsi kwentiwa kungatsengiswa kwejwala njengoba linyenti lebantfu alinatsi bese bangena emigwaceni. Lutsini luvo lwakho","disaster, accident and emergency incident"
17,"Ngemva kwesimemetelo sahulumende sekutsi bantfu kafanele bahlale etindlini kute kuvikelwe kubhebhetseleka kwaleleigciwane le Corona, Ngekwakho kubona kusho kutsini ngebantfu baseningizimu Afrika, kakhulukati sive lesimnyama ngendlela batiphatsa ngayo ekulandzeleni miyalo ye Covid19Lockdown Kutsini loku ngatsi sisive seningizumu Afrika, uma ubuka indlela lamanye mave enta ngayo.",education
18,"INYANDZALEYO MSAKATINgine mngani wami losebenta enkaphanini yangasese lengete ngayibita ngeligama, utsi umphatsi wakhe umtjele kutsi njengobe mengameli amemetele iLockdowk kusuka kusasa mhlaka 26 March, batawuvala bahlale emakhaya, kepha yena angeke abanikete lihholo kudzimate hhulumende abanikete lesincesiteliso latsembisa sona. Manje yena ukhatsatwa kutsi kungenteka angahholi ekupheleni kwa March na April.Ubuta mine kutsi ngente njani, ngelishwa nami angikeva kahle kut...",health
19,"Mongameli kulindzeleke kutsi akhulume nesive labanye balidzele kutsi bangahle bathole I payment holiday wena ungajabulela yiphi I payment holiday ye tax, bank loan, yemoto nobe INDLU",society
20,Kuna Bhuti lotsite lonebantfwana labatsatfu bahlukene nagbo Make. Ubone kuncono kutsi asungule I WhattsApp group lapho kutokhulunywa konkhe lokutsintsa bantfwana Endzaweni yinyengesikhatsi sinyekunekutsi akhulume nabo ngamunyeUmbuto  Wena ungavuma kuba incenye ye Whattsapp group nalabanye bomake bebantfwana bababe webantfwana benu,human interest
21,"KHULUMA NGWANEBantfwana labatsite labavela eminindenini lapho batali basebenta kahle nobe banemabhizinisi, abafuni kufundza batawutisebentela babe netintfo tabo, labanye baba bantfwana babo Mama naPapa, balindzele kutfola lifa lebatali, lona lelo lifa labanyenti balidlaphatisa balicedze basale bangenalutfo, utsini umcabango wakho ngebantfwana labanjalo,Ungentani wena uma ubabona bantfwana bakho kutsi banjalo, balindze kutsi ufe, batawudla lifa",society
22,"INYANDZALEYO MSAKATINginebantfwana labatsatfu, ngitibule ngentfombi , leneminyaka lengu 13, ngalamisa ngentfombi leneminyaka lelishumi kantsi tfunjana ngumfana loneminyaka lesikhombisa. Inkinga yami kutsi kwangatsi kunembango phakatsi kwabo, nguloye naloye ufuna kutsi kube nguye intsandvokati, uma ngitsengela munye lokutsite, bonke bayakufuna, uma kungenteki bangisola ngekutsi vele angibatsandzi ngalokulinganako, bangibalele tehlakalo lapho ngentele lomunye lokutsite ngan...",human interest
